Lot Number,Image,Address,Town,Postcode,Description,Guide Price,Price,Auctioneer,Auction Date,Lease Details,Vendor
104,https://www.eigroup.co.uk/files/1/21119/1b8823c8-6f1f-40a9-ab2e-8a83e744a0e3.jpg,"Medusa House, St. Johns Road, Stourbridge, West Midlands, DY8 1YS", West Midlands, DY8 1YS,Freehold Office Building 7 Floor 16 Parking Space Part Vacant,Sold Prior,,Allsop Commercial,25 March 2015,,
105,https://www.eigroup.co.uk/files/1/21119/d6ef933c-b545-47dc-baec-b4ee8da210ba.jpg,"28/29 King Street, Whitehaven, Cumbria, CA28 7JN", Cumbria, CA28 7JN,Freehold Two Shop Total 1973 Square Feet Let,"£375,000 to £400,000",375000,Allsop Commercial,25 March 2015,,
106,https://www.eigroup.co.uk/files/1/21119/82e2c674-6aeb-4347-b97c-a3f31ee4870e.jpg,"34/35 Saddler Street, Durham, County Durham, DH1 3NU", County Durham, DH1 3NU,Freehold Terrace Building Arranged As Shop Total 2083 Square Feet Let,"£240,000 to £250,000",240000,Allsop Commercial,25 March 2015,,
107,https://www.eigroup.co.uk/files/1/21119/087ad2d7-5352-458c-8972-691a946802f2.jpg,"Unit 9, Brewery Court, Theale, Reading, Berkshire, RG7 5AJ", Berkshire, RG7 5AJ,Freehold Office Accommodation Two Floor Two Parking Space Vacant,Refer,,Allsop Commercial,25 March 2015,,
108,https://www.eigroup.co.uk/files/1/21119/d39e1b60-55cc-46a9-b1fc-869f0662c9b8.jpg,"Unit 11, Brewery Court, Theale, Reading, Berkshire, RG7 5AJ", Berkshire, RG7 5AJ,Freehold Office Accommodation Two Floor Three Parking Space Vacant,Refer,,Allsop Commercial,25 March 2015,,
109,https://www.eigroup.co.uk/files/1/21119/9c8e0018-3f81-4f98-a504-10657c828e47.jpg,"Unit 14, Brewery Court, Theale, Reading, Berkshire, RG7 5AJ", Berkshire, RG7 5AJ,Freehold Office Accommodation Three Floor Two Parking Space Vacant,Refer,,Allsop Commercial,25 March 2015,,
110,https://www.eigroup.co.uk/files/1/21119/773e4d56-3938-48e0-b1d4-29f72799660a.jpg,"110 High Street, Gosport, Hampshire, PO12 1DU", Hampshire, PO12 1DU,Freehold Building Arranged As Ground Floor Shop & 2nd Floor Ancillary Accommodation Let,"£180,000 to £190,000",180000,Allsop Commercial,25 March 2015,"10 Yr, commencing 16/09/2014 00:00:00",
111,https://www.eigroup.co.uk/files/1/21119/d3383d3d-1126-4e15-b566-1d5d483ef28d.jpg,"28-29 High Street, Ross-on-Wye, Herefordshire, HR9 5BZ", Herefordshire, HR9 5BZ,Freehold Building Arranged As Three Ground Floor Shop Let & 4 Self-Contained Flat Assured Shorthold Tenancy,"£280,000 to £320,000",280000,Allsop Commercial,25 March 2015,,
112,https://www.eigroup.co.uk/files/1/21119/af1069bf-17c8-4748-9e5b-13e79e5ac776.jpg,"Church View, 1-6 Church Lane, Boston, Lincolnshire, PE21 6ND", Lincolnshire, PE21 6ND,Freehold Building Two Floor Arranged As 5 Ground Floor Retail Unit/s & Ancillary Accommodation Let,Refer,,Allsop Commercial,25 March 2015,,
113,https://www.eigroup.co.uk/files/1/21119/45c6e82a-c60d-43e4-93ff-010da5fa6271.jpg,"Exchange Buildings, Market Place, Boston, Lincolnshire, PE21 6NH", Lincolnshire, PE21 6NH,Freehold Building 4 Floor Arranged As 4 Retail Unit/s & Upper Part Office Part Vacant,Refer,,Allsop Commercial,25 March 2015,,
114,https://www.eigroup.co.uk/files/1/21119/1183c11c-c5c0-4241-831f-2b4b3d2f4d3c.jpg,"Units 1-11, Leyland Close, Thetford, Norfolk, IP24 1XA", Norfolk, IP24 1XA,Leasehold 11 Purpose Built Ground Floor Industrial Unit/s Total 12960 Square Feet Let,"£225,000 to £250,000",225000,Allsop Commercial,25 March 2015,"99 Yr, commencing 01/04/1983 00:00:00",Joint LPA Receivers
115,https://www.eigroup.co.uk/files/1/21119/c4f85874-4eb9-4eeb-95b6-c9c800a5d2ae.jpg,"Unit 1, Tyne Point Industrial Estate, Shaftesbury Avenue, Jarrow, Tyne and Wear, NE32 3UP", Tyne and Wear, NE32 3UP,Freehold Building Arranged As Industrial Unit/s Total 8545 Square Feet Let,"£200,000 to £225,000",200000,Allsop Commercial,25 March 2015,"10 Yr, commencing 23/07/2013 00:00:00",
116,https://www.eigroup.co.uk/files/1/21119/e4e7cc4f-0be0-49bb-bc21-d13617b24074.jpg,"17 Adare Street, Bridgend, Mid Glamorgan, CF31 1ET", Mid Glamorgan, CF31 1ET,Freehold Building Arranged As Ground Floor Shop & Ancillary Accommodation Let,"£200,000 to £230,000",200000,Allsop Commercial,25 March 2015,,
117,https://www.eigroup.co.uk/files/1/21119/5e06ceca-e09d-4113-a10c-d65df461131d.jpg,"7/7A Bridge Street, Haverfordwest, Dyfed, SA61 2AL", Dyfed, SA61 2AL,Freehold Building Arranged As Ground Floor Shop & 1st Floor Ancillary Accommodation Total 2125 Square Feet Vacant,"£75,000 Plus",75000,Allsop Commercial,25 March 2015,,
118,https://www.eigroup.co.uk/files/1/21119/2428e635-5a3e-46eb-9024-8c54f062b218.jpg,"77 Walton Vale, Liverpool, Merseyside, L9 4RQ", Merseyside, L9 4RQ,Freehold Ground Floor Single Storey Shop Unit/s Total 1499 Square Feet Let,"£70,000 to £75,000",70000,Allsop Commercial,25 March 2015,"5 Yr, commencing 06/07/2012 00:00:00",
119,https://www.eigroup.co.uk/files/1/21119/857737cf-1715-4705-b5a9-463ea411e7a9.jpg,"The Coffee Lounge, Brindley House, 101 Newhall Street, Birmingham, West Midlands, B3 1LJ", West Midlands, B3 1LJ,Long Leasehold Coffee Shop & Ancillary Accommodation Total 1535 Square Feet Let,"£160,000 to £170,000",160000,Allsop Commercial,25 March 2015,"5 Yr, commencing 26/02/2014 00:00:00",Fixed Charge Receivers
120,https://www.eigroup.co.uk/files/1/21119/5254aa65-5799-4964-94a0-f6b69c378c7e.jpg,"19-20 Lammas Street, Carmarthen, Dyfed, SA31 3AL", Dyfed, SA31 3AL,Freehold Arranged As Ground Floor Retail Unit/s Shop & Upper Part Office Yards Let,"£230,000 to £250,000",230000,Allsop Commercial,25 March 2015,,
121,https://www.eigroup.co.uk/files/1/21119/632806c6-f441-4e7c-81b5-d14942b6a4ed.jpg,"24-26 & 28 Piccadilly, Stoke-on-Trent, Staffordshire, ST1 1EG", Staffordshire, ST1 1EG,Freehold Building Arranged As Ground Floor Retail Unit/s & Ancillary Accommodation Let,"£100,000 to £110,000",100000,Allsop Commercial,25 March 2015,,
122,https://www.eigroup.co.uk/files/1/21119/efb94ddd-e145-48f5-8e1c-1df800655328.jpg,"Knottingley, Malvern Road, Knottingley, West Yorkshire, WF11 8EQ", West Yorkshire, WF11 8EQ,Freehold Building Arranged As Ground & 1st Floor Office Accommodation Total 14999 Square Feet Vacant,"£125,000 to £150,000",125000,Allsop Commercial,25 March 2015,,
123,https://www.eigroup.co.uk/files/1/21119/ba259693-89a8-4853-a85a-66f2647591f9.jpg,"34, 36 & 38 Grosvenor Street, Stalybridge, Cheshire, SK15 2JN", Cheshire, SK15 2JN,Freehold Building Arranged As Betting Office Shop Total 1313 Square Feet Let,"£200,000 Plus",200000,Allsop Commercial,25 March 2015,"10 Yr, commencing 28/03/2011 00:00:00",
124,https://www.eigroup.co.uk/files/1/21119/cfb307d5-d71e-4206-a0ba-fa649bbf8d31.jpg,"51 West Street, Leominster, Herefordshire, HR6 8EP", Herefordshire, HR6 8EP,Freehold Building Arranged As Ground Floor Shop & Ancillary Accommodation Total 2692 Square Feet Vacant,"£120,000 to £140,000",120000,Allsop Commercial,25 March 2015,,Laurel Funerals
125,https://www.eigroup.co.uk/files/1/21119/6e26cd81-a13e-41f5-8c22-0eef1d5c3eb0.jpg,"137-139 Victor Street, Grimsby, South Humberside, DN32 7PZ", South Humberside, DN32 7PZ,Freehold Building Arranged As Betting Shop & Upper Part Two Flat Let,"£80,000 to £90,000",80000,Allsop Commercial,25 March 2015,,
126,https://www.eigroup.co.uk/files/1/21119/5f99ad2e-82df-4fac-9380-2a5a95c0cd53.jpg,"76 High Street, Barton-upon-Humber, South Humberside, DN18 5PU", South Humberside, DN18 5PU,Freehold Building Arranged As Ground Floor Betting Shop Total 808 Square Feet Let,"£80,000 to £90,000",80000,Allsop Commercial,25 March 2015,"20 Yr, commencing 24/01/2003 00:00:00",
127,https://www.eigroup.co.uk/files/1/21119/17e94da3-7273-4ba8-a797-0cb5585a443a.jpg,"2 High Street, Eastfield, Scarborough, North Yorkshire, YO11 3LJ", North Yorkshire, YO11 3LJ,Freehold Building Arranged As Ground Floor Shop & Upper Part Self-Contained Flat Let,"£70,000 to £80,000",70000,Allsop Commercial,25 March 2015,"3 Yr, commencing 01/07/2014 00:00:00",
128,https://www.eigroup.co.uk/files/1/21119/81281ec3-5081-4262-9b9d-ac8ee840b3a5.jpg,"115/115A Guildford Street, Chertsey, Surrey, KT16 9AS", Surrey, KT16 9AS,Freehold Building Arranged As Ground Floor Shop & Ground Rent(s) On Upper Part Maisonette,"£85,000 Plus",85000,Allsop Commercial,25 March 2015,,
129,https://www.eigroup.co.uk/files/1/21119/8bfb429a-b02c-4464-ae04-a0e060f1430d.jpg,"1/1A Cornmarket, Faringdon, Oxfordshire, SN7 7HG", Oxfordshire, SN7 7HG,Freehold Terrace Building Arranged As Ground Floor Shop Unit/s Vacant & Ground Rent(s) On Maisonette,"£50,000 to £75,000",50000,Allsop Commercial,25 March 2015,,Joint Fixed Charge Receivers
130,https://www.eigroup.co.uk/files/1/21119/bf6a9791-9306-44e7-91f5-78459764c530.jpg,"35 Cross Street, Barry, South Glamorgan, CF63 4LU", South Glamorgan, CF63 4LU,Freehold Building Arranged As Ground Floor Retail Unit/s & 1st Floor Flat Two Bedroom Let,"£100,000 to £120,000",100000,Allsop Commercial,25 March 2015,,Joint Fixed Charge Receivers
131,https://www.eigroup.co.uk/files/1/21119/ebe6389b-dce2-4dad-b7cf-ee6bab086d14.jpg,"48/50 Red Lion Street, Aylsham, Norwich, Norfolk, NR11 6ER", Norfolk, NR11 6ER,Freehold Building Arranged As Ground Floor Restaurant & Upper Part Self-Contained Flat Let,"£90,000 to £100,000",90000,Allsop Commercial,25 March 2015,,Joint Fixed Charge Receivers
132,https://www.eigroup.co.uk/files/1/21119/5337d05c-5529-48ad-9741-d8155167525e.jpg,"46 Red Lion Street, Aylsham, Norwich, Norfolk, NR11 6ER", Norfolk, NR11 6ER,Freehold Building Arranged As Ground Floor Retail Unit/s & 1st Floor Self-Contained Flat Let,"£30,000 to £40,000",30000,Allsop Commercial,25 March 2015,,Joint Fixed Charge Receivers
1,https://www.eigroup.co.uk/files/57/21129/b084e030-abc9-4d03-a29a-65d0ba9964c3.jpg,"9 Cardinal Bourne Street, Southwark, London, SE1 4EJ", London, SE1 4EJ,Leasehold Self-Contained Purpose Built 4th Floor Flat Two Room(s) Vacant,"£120,000 Plus",120000,Allsop Residential,26 March 2015,"125 Yr, commencing 17/06/2002 00:00:00 (GR.£10.PA)",Treasury Solicitor
2,https://www.eigroup.co.uk/files/57/21129/3f24cf26-d353-488d-b800-5986eee4b699.jpg,"Flat 3, Arnos Grove Court, Palmers Road, New Southgate, London, N11 1RA", London, N11 1RA,Leasehold Self-Contained 1st Floor Flat Three Room(s) Garage/s Vacant,"£200,000 Plus",200000,Allsop Residential,26 March 2015,"125 Yr, commencing 25/12/1994 00:00:00 (GR.£50.PA)",Hurstway Investment Company Ltd
3,https://www.eigroup.co.uk/files/57/21129/53951ce2-d318-4a24-a794-bcd14fe048b1.jpg,"83 Morieux Road, Leyton, London, E10 7LJ", London, E10 7LJ,Long Leasehold Self-Contained Ground Floor Flat 4 Room(s) Garden Vacant,Refer,,Allsop Residential,26 March 2015,"999 Yr, commencing 25/12/1910 00:00:00 (GR.£12.PA)",Joint Fixed Charge Receivers
4,https://www.eigroup.co.uk/files/57/21129/4b1b3d27-2fe7-482c-967d-2cb70ce65a3a.jpg,"117A Kilburn Park Road, Kilburn, London, NW6 5LB", London, NW6 5LB,Leasehold Self-Contained Lower Ground Floor Flat Two Room(s) Vacant,"£250,000 Plus",250000,Allsop Residential,26 March 2015,"99 Yr, commencing 25/03/1990 00:00:00 (GR.£60.PA)",A2 Dominion Group
5,https://www.eigroup.co.uk/files/57/21129/53775d42-263c-4632-86e8-e0932b0524ec.jpg,"153 Upton Lane, Forest Gate, London, E7 9PJ", London, E7 9PJ,Freehold End of Terrace Building Three Floor Arranged As 5 Bed Sit Garden Vacant,Withdrawn Prior,,Allsop Residential,26 March 2015,,East Thames Housing Group
6,https://www.eigroup.co.uk/files/57/21129/1a280edf-02de-4103-afcc-2feb145e2c66.jpg,"56B Ernald Avenue, East Ham, London, E6 3AL", London, E6 3AL,Leasehold Self-Contained 1st Floor Flat Two Room(s) Vacant,"£125,000 Plus",125000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/01/2008 00:00:00 (GR.£250.PA)",Housing Association
7,https://www.eigroup.co.uk/files/57/21129/ca012f96-ec10-41ca-bfb4-9b6504a6f88a.jpg,"Invicta House, Warehorne Road, Hamstreet, Ashford, Kent, TN26 2JW", Kent, TN26 2JW,Freehold Detached Former Care Home Two Floor 1267 Square Feet on Site 0.316 Acre Development Potential Subject to Planning Permission Vacant,"£200,000 Plus",200000,Allsop Residential,26 March 2015,,Housing Association
8,https://www.eigroup.co.uk/files/57/21129/3fc57e6e-06d8-4233-9206-eb57c6b73733.jpg,"61 Bonchurch Road, Brighton, East Sussex, BN2 3PJ", East Sussex, BN2 3PJ,Leasehold Self-Contained Ground Floor Flat Two Room(s) Registered Rent,"£100,000 Plus",100000,Allsop Residential,26 March 2015,"125 Yr, commencing 25/03/2007 00:00:00 (GR.£100.PA)",
9,https://www.eigroup.co.uk/files/57/21129/61647b31-390f-49b0-a8f3-ee5deb5c1b78.jpg,"Site at 1 & 2, Malvern Road, Kilburn, London, NW6 5PY", London, NW6 5PY,Freehold Site 0.139 Acre Development Potential Subject to Planning Permission Vacant,"£125,000 Plus",125000,Allsop Residential,26 March 2015,,NHS Property Services Ltd
10,https://www.eigroup.co.uk/files/57/21129/6d132c75-0a29-44f7-b293-85f23b1e9608.jpg,"225 Elgin Avenue, Maida Vale, London, W9 1NH", London, W9 1NH,Freehold Ground Rent(s) on Terrace Building Arranged As 6 Self-Contained Flat,"£5,000 Plus",5000,Allsop Residential,26 March 2015,,
11,https://www.eigroup.co.uk/files/57/21129/c7394699-ef39-40b0-9bfc-b22d6dab2d0b.jpg,"Flat 1, 49 Rupert Street, Soho, London, W1D 7PF", London, W1D 7PF,Leasehold 1st Floor Flat Two Room(s) Registered Rent,"£350,000 Plus",350000,Allsop Residential,26 March 2015,"250 Yr, commencing 26/03/2015 00:00:00",
12,https://www.eigroup.co.uk/files/57/21129/1fc2cb2e-c136-4e14-b4ac-b9c956f6cf14.jpg,"Flat 6, 69 Rupert Street, Soho, London, W1D 7PD", London, W1D 7PD,Leasehold 3rd Floor Studio Flat Registered Rent,"£375,000 to £400,000",375000,Allsop Residential,26 March 2015,"250 Yr, commencing 26/03/2015 00:00:00",
14,https://www.eigroup.co.uk/files/57/21129/adbf6308-181d-4520-a261-ca0abefa28cd.jpg,"Victoria Court, Southport, Merseyside, PR8 2DN", Merseyside, PR8 2DN,Freehold 72 Garage 18 Vacant 54 Let & Ground Rent(s) on 131 Self-Contained Flat One Bungalow & 6 Garage/s,"£200,000 Plus",200000,Allsop Residential,26 March 2015,,
15,https://www.eigroup.co.uk/files/57/21129/2e7f15b7-4d70-4c6a-a911-08fa65fdef38.jpg,"Flat 18, 16 Belsize Grove, Hampstead, London, NW3 4UN", London, NW3 4UN,Leasehold Self-Contained 2nd Floor Studio Flat Vacant,"£295,000 Plus",295000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/10/2014 00:00:00 (GR.£100.PA)",Housing Association
16,https://www.eigroup.co.uk/files/57/21129/75910b24-d9e1-432e-b7b7-3cf2a9517846.jpg,"18 Gryms Dyke, Prestwood, Great Missenden, Buckinghamshire, HP16 0LL", Buckinghamshire, HP16 0LL,Leasehold Self-Contained 1st Floor Flat Three Room(s) Garden Vacant,"£140,000 Plus",140000,Allsop Residential,26 March 2015,"125 Yr, commencing 26/03/2015 00:00:00 (GR.£150.PA)",Paradigm Housing Group
17,https://www.eigroup.co.uk/files/57/21129/fcb7a24e-69df-437e-b114-061c3d866a65.jpg,"Flat 98, Lyncroft Mansions, Lyncroft Gardens, Hampstead, London, NW6 1JY", London, NW6 1JY,Leasehold Self-Contained Ground Floor Flat Three Room(s) Vacant,"£575,000 to £600,000",575000,Allsop Residential,26 March 2015,"169 Yr, commencing 11/07/2003 00:00:00",
18,https://www.eigroup.co.uk/files/57/21129/845a2a89-3a09-4da0-ac51-597f50a43336.jpg,"4 Butts Road, Stanford-le-Hope, Essex, SS17 0JH", Essex, SS17 0JH,Freehold Terrace House Two Floor 4 Room(s) Garden Vacant,"£150,000 to £160,000",150000,Allsop Residential,26 March 2015,,
19,https://www.eigroup.co.uk/files/57/21129/796e2c7b-cc7c-42ab-b289-b6d8b6aaa5a7.jpg,"Upper Parts, 50-56 Cricklewood Broadway, Cricklewood, London, NW2 3ET", London, NW2 3ET,Head Leasehold Ground Rent(s) on 8 Self-Contained Flat,"£8,000 Plus",8000,Allsop Residential,26 March 2015,,
20,https://www.eigroup.co.uk/files/57/21129/6bfa87f6-8ee1-4f14-8c22-293e9106a207.jpg,"142 Central Avenue, Southend-on-Sea, Essex, SS2 4DZ", Essex, SS2 4DZ,Leasehold Self-Contained Ground Floor Flat One Bedroom Assured Shorthold Tenancy,Refer,,Allsop Residential,26 March 2015,"90 Yr, commencing 01/07/1985 00:00:00 (GR.£60.PA)",Joint Fixed Charge Receivers
21,https://www.eigroup.co.uk/files/57/21129/fc23ac62-d6df-42c6-8ed9-7443108e2673.jpg,"Land at 28-30 Randolph Avenue, Maida Vale, London, W9 1BJ", London, W9 1BJ,Freehold Site 0.104 Acre Arranged As Car Park Let Development Potential Residential Accommodation Subject to Planning Permission,"£4,000,000 Plus",4000000,Allsop Residential,26 March 2015,,
22,https://www.eigroup.co.uk/files/57/21129/a477cf83-5cba-4faa-a062-8abdad28a5de.jpg,"41 Gardenia Avenue, Luton, Bedfordshire, LU3 2NP", Bedfordshire, LU3 2NP,Freehold Terrace House Two Floor Three Room(s) Garden Vacant,"£110,000 Plus",110000,Allsop Residential,26 March 2015,,
23,https://www.eigroup.co.uk/files/57/21129/f3d1f4d1-8683-4ccd-8d06-cdb266d52ceb.jpg,"5 & 6 Selwyn Court, Barnhill Road, Wembley, Middlesex, HA9 9BP", Middlesex, HA9 9BP,Freehold Ground Rent(s) on Two Self-Contained Flat,"£60,000 Plus",60000,Allsop Residential,26 March 2015,,
24,https://www.eigroup.co.uk/files/57/21129/4f471f59-54d8-4ca7-9f44-8be3eca1e915.jpg,"12-14 Morland Road, Penge, London, SE20 7NB", London, SE20 7NB,Freehold Ground Rent(s) on 5 Self-Contained Flat,"£15,000 to £16,000",15000,Allsop Residential,26 March 2015,,
25,https://www.eigroup.co.uk/files/57/21129/4ab29610-d3de-4b65-8789-abe57c822299.jpg,"9 Rosary Gardens, South Kensington, London, SW7 4NN", London, SW7 4NN,Head Leasehold Ground Rent(s) on 5 Self-Contained Flat,No Reserve,,Allsop Residential,26 March 2015,,
26,https://www.eigroup.co.uk/files/57/21129/6e72e756-5c2a-41ce-b88f-b25253512735.jpg,"Flat 40, Ranelagh House, 3-5 Elystan Place, Chelsea, London, SW3 3LD", London, SW3 3LD,Leasehold Self-Contained Lower Ground Floor & Raised Ground Floor Maisonette Three Room(s) Parking Space Vacant,"£1,000,000 to £1,100,000",1000000,Allsop Residential,26 March 2015,"250 Yr, commencing 11/03/2002 00:00:00 (GR.£250.PA)",
27,https://www.eigroup.co.uk/files/57/21129/30ee2d4c-8a96-455a-a950-5a8dcecf4c00.jpg,"St James's Court, 73,75, & 77 Gloucester Terrace, Cricklewood, London, W2 3DH", London, W2 3DH,Freehold Ground Rent(s) on Substantial Corner Building Arranged As 26 Flat One Restaurant & One Shop,"£75,000 Plus",75000,Allsop Residential,26 March 2015,,
28,https://www.eigroup.co.uk/files/57/21129/df4e595f-3df4-49c4-bfa6-43d9307b51d8.jpg,"Flat 1, 40 Marine Parade, Worthing, West Sussex, BN11 3QA", West Sussex, BN11 3QA,Leasehold Self-Contained 1st Floor Flat Three Room(s) Vacant,"£210,000 Plus",210000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/01/2015 00:00:00 (GR.£300.PA)",
29,https://www.eigroup.co.uk/files/57/21129/b014cab9-f26f-47f4-bef8-edb0609e7521.jpg,"Flat D, 53 Alexandra Drive, Norwood, London, SE19 1AW", London, SE19 1AW,Leasehold Self-Contained 2nd Floor Flat Three Room(s) Vacant,"£210,000 Plus",210000,Allsop Residential,26 March 2015,"99 Yr, commencing 29/09/1977 00:00:00 (GR.£60.PA.)",
30,https://www.eigroup.co.uk/files/57/21129/94299ab2-6b6c-4e7b-8319-940a2f8aa20a.jpg,"Flat 7, Queens Court, Queensway, Streatham, London, W2 4QN", London, W2 4QN,Long Leasehold Self-Contained Purpose Built 2nd Floor Flat 5 Room(s) Vacant,"£1,500,000 Plus",1500000,Allsop Residential,26 March 2015,"189 Yr, commencing 24/06/1971 00:00:00",
31,https://www.eigroup.co.uk/files/57/21129/85003b10-f5e2-443e-8c7e-08aaee620432.jpg,"Eagle House, The Runway, Ruislip, Middlesex, HA4 6SE", Middlesex, HA4 6SE,Freehold Office Building 941 Square Metres & 46 Parking Space Planning Permission Conversion Residential,"£3,000,000 Plus",3000000,Allsop Residential,26 March 2015,,
32,https://www.eigroup.co.uk/files/57/21129/d0737c21-ad4d-47a8-9372-55ad03717e20.jpg,"Flat E, 18 Hilgrove Road, Kilburn, London, NW6 4TN", London, NW6 4TN,Leasehold Self-Contained 2nd Floor Flat Two Room(s) Vacant,"£370,000 Plus",370000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/01/2015 00:00:00 (GR.£100.PA)",Housing Association
33,https://www.eigroup.co.uk/files/57/21129/7cf153c4-cdc0-4954-9e2f-c0c5c3735ca3.jpg,"88 Queens Road, Bishopsworth, Bristol, Avon, BS13 8PQ", Avon, BS13 8PQ,Freehold Reversion Ground Rent(s) on Shop & Flat,No Reserve,,Allsop Residential,26 March 2015,"99 Yr, commencing 20/12/1959 00:00:00",
34,https://www.eigroup.co.uk/files/57/21129/c35aeef7-a85d-40e8-8a94-e4b1afbf5362.jpg,"St. James Gate, 105 Palmerston Road, Buckhurst Hill, Essex, IG9 5NJ", Essex, IG9 5NJ,Head Leasehold Ground Rent(s) on 29 Self-Contained Flat & Telephone Mast Let,"£190,000 Plus",190000,Allsop Residential,26 March 2015,,
35,https://www.eigroup.co.uk/files/57/21129/59fea351-5f90-48a0-9434-375f844f511d.jpg,"14 The Mead, Ilchester, Yeovil, Somerset, BA22 8NZ", Somerset, BA22 8NZ,Freehold Terrace House Two Floor 6 Room(s) Garden Registered Rent,"£95,000 Plus",95000,Allsop Residential,26 March 2015,,
36,https://www.eigroup.co.uk/files/57/21129/a61fdde4-1474-4f71-b142-e1fa6ee3f0b1.jpg,"36 The Mead, Ilchester, Yeovil, Somerset, BA22 8NZ", Somerset, BA22 8NZ,Freehold End of Terrace House Two Floor Three Room(s) Garden Registered Rent,"£70,000 Plus",70000,Allsop Residential,26 March 2015,,
37,https://www.eigroup.co.uk/files/57/21129/cbd5f9e2-0f3c-4243-b480-a6eae9484b64.jpg,"Flat 4, Hartgrove Court, 19 Elmwood Crescent, Kingsbury, London, NW9 0NN", London, NW9 0NN,Leasehold Self-Contained Purpose Built Ground Floor Flat Three Room(s) Vacant,"£100,000 Plus",100000,Allsop Residential,26 March 2015,"125 Yr, commencing 15/11/1988 00:00:00 (GR.£10.PA.)",A2 Dominion Group
38,https://www.eigroup.co.uk/files/57/21129/d82c52c9-a173-4731-8443-debc7ab96d61.jpg,"Flat 36, Pope House, Manor Estate, Rotherhithe, London, SE16 3NU", London, SE16 3NU,Leasehold Self-Contained Purpose Built 5th Floor Flat Two Room(s) Vacant,"£190,000 Plus",190000,Allsop Residential,26 March 2015,"125 Yr, commencing 05/05/2003 00:00:00 (GR.£10.PA)",
39,https://www.eigroup.co.uk/files/57/21129/693cfdbb-e6a4-4fac-ab8d-4b4943ac9263.jpg,"70 Darnley Road, Hackney, London, E9 6QH", London, E9 6QH,Freehold Terrace Building Arranged As Three Flat One Vacant Two Ground Rent(s),"£425,000 to £475,000",425000,Allsop Residential,26 March 2015,"150 Yr, commencing 25/12/2003 00:00:00",Joint Fixed Charge Receivers
40,https://www.eigroup.co.uk/files/57/21129/ee565d4e-a6d0-4041-ad5e-dc6facf54336.jpg,"394 Camden Road, Tufnell Park, London, N7 0SJ", London, N7 0SJ,Freehold End of Terrace Building 4 Floor & Two Derelict Single Storey Warehouse on Total Site 0.391 Acre Planning Perm  Applied for Commercial & Residential Accommodation,"£5,000,000 to £5,500,000",5000000,Allsop Residential,26 March 2015,,
41,https://www.eigroup.co.uk/files/57/21129/3e03aca2-5559-496c-853a-6279e74731df.jpg,"Flat 3, 11 Stanhope Road, Highgate, London, N6 5NE", London, N6 5NE,Leasehold Self-Contained Lower Ground Floor Studio Flat Communal Gardens Vacant,"£200,000 to £220,000",200000,Allsop Residential,26 March 2015,"125 Yr, commencing 29/09/2002 00:00:00 (GR.£210.PA)",
42,https://www.eigroup.co.uk/files/57/21129/6d56b988-5fbf-42fd-b996-31177bf346de.jpg,"38 Gladstone Street, Peterborough, Cambridgeshire, PE1 2BE", Cambridgeshire, PE1 2BE,Freehold Terrace House Two Floor 4 Room(s) Yards Vacant,"£65,000 Plus",65000,Allsop Residential,26 March 2015,,Housing Association
43,https://www.eigroup.co.uk/files/57/21129/2cdad081-8046-48d9-aed7-b63fdce6ee4d.jpg,"5 Westbourne Road, Sydenham, London, SE26 5NJ", London, SE26 5NJ,Freehold Semi-Detached House Three Floor 7 Room(s) Garden Vacant,"£650,000 Plus",650000,Allsop Residential,26 March 2015,,
44A,https://www.eigroup.co.uk/files/57/21129/8fe72345-71d4-4632-968a-83884130b4b9.jpg,"Unit D, 52 Lisson Street, Camden, London, NW1 5DF", London, NW1 5DF,Long Leasehold 1st Floor Former Office Unit/s 775 Square Feet Planning Permission Conversion Residential Unit/s,"£650,000 Plus",650000,Allsop Residential,26 March 2015,"125 Yr, commencing 26/03/2015 00:00:00 (GR.£500.PA)",
44B,https://www.eigroup.co.uk/files/57/21129/4a4fb81a-5be1-437d-afd2-9d28b8330b6a.jpg,"Unit E, 52 Lisson Street, Camden, London, NW1 5DF", London, NW1 5DF,Long Leasehold 1st Floor Former Office Unit/s 925 Square Feet Planning Permission Conversion Residential Unit/s,"£750,000 Plus",750000,Allsop Residential,26 March 2015,"125 Yr, commencing 26/03/2015 00:00:00 (GR.£500.PA)",
45,https://www.eigroup.co.uk/files/57/21129/8df62434-5bd3-4f0b-ba7e-c393f7d6d93c.jpg,"23 Dunster Gardens, Bedford, Bedfordshire, MK41 8BE", Bedfordshire, MK41 8BE,Freehold Detached House Two Floor 4 Room(s) Garden Garage/s Vacant,"£185,000 Plus",185000,Allsop Residential,26 March 2015,,
46,https://www.eigroup.co.uk/files/57/21129/5ec53bef-3544-4a22-af8a-489dc5ddaff9.jpg,"20 Tudor Court, Walthamstow, London, E17 8ET", London, E17 8ET,Leasehold Self-Contained Ground Floor Garden Flat Two Room(s) Vacant,"£170,000 Plus",170000,Allsop Residential,26 March 2015,"125 Yr, commencing 24/01/1997 00:00:00 (GR.£100.PA)",
